  
       XFOIL         Version 6.99
  
 Calculated polar for: SOMERS S102 AIRFOIL (BLUNT)                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -6.000  -0.3000   0.02135   0.01362  -0.0788   0.9010   0.0272
  -5.900  -0.2901   0.02092   0.01319  -0.0785   0.8979   0.0276
  -5.800  -0.2801   0.02051   0.01277  -0.0782   0.8952   0.0281
  -5.700  -0.2700   0.02012   0.01236  -0.0779   0.8929   0.0286
  -5.600  -0.2610   0.01978   0.01201  -0.0776   0.8896   0.0292
  -5.500  -0.2520   0.01945   0.01167  -0.0772   0.8859   0.0299
  -5.400  -0.2422   0.01920   0.01136  -0.0769   0.8829   0.0310
  -5.300  -0.2338   0.01870   0.01090  -0.0766   0.8802   0.0324
  -5.200  -0.2243   0.01837   0.01060  -0.0766   0.8780   0.0341
  -5.100  -0.2143   0.01811   0.01032  -0.0765   0.8760   0.0361
  -5.000  -0.2047   0.01791   0.01009  -0.0763   0.8726   0.0381
  -4.900  -0.1969   0.01734   0.00956  -0.0763   0.8695   0.0402
  -4.800  -0.1872   0.01700   0.00922  -0.0763   0.8669   0.0432
  -4.700  -0.1772   0.01660   0.00880  -0.0763   0.8646   0.0475
  -4.600  -0.1670   0.01621   0.00842  -0.0765   0.8626   0.0551
  -4.500  -0.1569   0.01565   0.00791  -0.0767   0.8609   0.0697
  -4.400  -0.1491   0.01428   0.00716  -0.0778   0.8581   0.1707
  -4.300  -0.1429   0.01302   0.00756  -0.0787   0.8552   0.5693
  -4.200  -0.1327   0.01367   0.00823  -0.0777   0.8529   0.5925
  -4.100  -0.1225   0.01420   0.00875  -0.0768   0.8507   0.6070
  -4.000  -0.1120   0.01469   0.00919  -0.0760   0.8488   0.6195
  -3.900  -0.1028   0.01527   0.00981  -0.0747   0.8471   0.6288
  -3.800  -0.0933   0.01576   0.01030  -0.0735   0.8455   0.6374
  -3.700  -0.0843   0.01630   0.01085  -0.0721   0.8438   0.6452
  -3.600  -0.0751   0.01669   0.01123  -0.0712   0.8414   0.6524
  -3.500  -0.0676   0.01727   0.01186  -0.0694   0.8392   0.6577
  -3.400  -0.0572   0.01757   0.01211  -0.0690   0.8373   0.6668
  -3.300  -0.0517   0.01830   0.01292  -0.0660   0.8355   0.6717
  -3.200  -0.0421   0.01872   0.01330  -0.0652   0.8338   0.6825
  -3.100  -0.0379   0.01948   0.01412  -0.0616   0.8324   0.6874
  -3.000  -0.0274   0.01978   0.01437  -0.0612   0.8310   0.6966
  -2.900  -0.0201   0.02005   0.01464  -0.0593   0.8298   0.7002
  -2.800  -0.0110   0.02020   0.01477  -0.0583   0.8286   0.7022
  -2.700  -0.0005   0.02016   0.01471  -0.0583   0.8268   0.7032
  -2.600   0.0102   0.02010   0.01461  -0.0585   0.8249   0.7042
  -2.500   0.0212   0.02002   0.01450  -0.0588   0.8231   0.7053
  -2.400   0.0325   0.01993   0.01436  -0.0591   0.8214   0.7065
  -2.300   0.0442   0.01981   0.01420  -0.0596   0.8198   0.7076
  -2.200   0.0563   0.01968   0.01402  -0.0602   0.8182   0.7087
  -2.100   0.0687   0.01953   0.01382  -0.0609   0.8168   0.7099
  -2.000   0.0815   0.01938   0.01361  -0.0617   0.8155   0.7111
  -1.900   0.0947   0.01922   0.01339  -0.0627   0.8144   0.7121
  -1.800   0.1086   0.01906   0.01316  -0.0639   0.8134   0.7132
  -1.700   0.1204   0.01897   0.01302  -0.0642   0.8124   0.7138
  -1.600   0.1307   0.01893   0.01298  -0.0642   0.8108   0.7143
  -1.500   0.1413   0.01889   0.01294  -0.0643   0.8092   0.7148
  -1.400   0.1522   0.01885   0.01288  -0.0645   0.8077   0.7152
  -1.300   0.1634   0.01880   0.01281  -0.0648   0.8063   0.7156
  -1.200   0.1747   0.01875   0.01275  -0.0650   0.8049   0.7160
  -1.100   0.1859   0.01871   0.01269  -0.0652   0.8036   0.7166
  -1.000   0.1972   0.01866   0.01263  -0.0654   0.8023   0.7172
  -0.900   0.2087   0.01862   0.01256  -0.0657   0.8010   0.7177
  -0.800   0.2205   0.01856   0.01248  -0.0660   0.7999   0.7183
  -0.700   0.2325   0.01850   0.01239  -0.0663   0.7988   0.7187
  -0.600   0.2446   0.01844   0.01231  -0.0668   0.7978   0.7191
  -0.500   0.2568   0.01839   0.01223  -0.0672   0.7969   0.7195
  -0.400   0.2687   0.01837   0.01219  -0.0676   0.7961   0.7200
  -0.300   0.2798   0.01838   0.01221  -0.0679   0.7946   0.7206
  -0.200   0.2910   0.01839   0.01221  -0.0683   0.7931   0.7213
  -0.100   0.3025   0.01839   0.01221  -0.0687   0.7917   0.7219
   0.000   0.3141   0.01837   0.01219  -0.0691   0.7902   0.7224
   0.000   0.3141   0.01837   0.01219  -0.0691   0.7902   0.7224
   0.100   0.3260   0.01835   0.01216  -0.0696   0.7887   0.7229
   0.200   0.3380   0.01832   0.01212  -0.0701   0.7874   0.7233
   0.300   0.3501   0.01829   0.01208  -0.0705   0.7863   0.7237
   0.400   0.3624   0.01825   0.01203  -0.0710   0.7851   0.7241
   0.500   0.3748   0.01819   0.01194  -0.0715   0.7836   0.7245
   0.600   0.3875   0.01809   0.01181  -0.0718   0.7819   0.7250
   0.700   0.4003   0.01799   0.01167  -0.0721   0.7800   0.7257
   0.800   0.4107   0.01798   0.01168  -0.0724   0.7763   0.7264
   0.900   0.4222   0.01789   0.01157  -0.0726   0.7725   0.7270
   1.000   0.4347   0.01772   0.01137  -0.0728   0.7690   0.7274
   1.100   0.4478   0.01753   0.01112  -0.0730   0.7659   0.7278
   1.200   0.4600   0.01742   0.01098  -0.0732   0.7627   0.7282
   1.300   0.4708   0.01736   0.01093  -0.0734   0.7584   0.7286
   1.400   0.4829   0.01725   0.01079  -0.0737   0.7547   0.7290
   1.500   0.4954   0.01710   0.01061  -0.0739   0.7515   0.7294
   1.600   0.5076   0.01695   0.01042  -0.0739   0.7488   0.7297
   1.700   0.5179   0.01688   0.01037  -0.0738   0.7445   0.7300
   1.800   0.5286   0.01677   0.01026  -0.0737   0.7399   0.7304
   1.900   0.5402   0.01662   0.01010  -0.0737   0.7360   0.7307
   2.000   0.5524   0.01648   0.00991  -0.0737   0.7329   0.7312
   2.100   0.5629   0.01643   0.00988  -0.0736   0.7290   0.7317
