    XFOIL         Version 6.96
  
 Calculated polar for: SOMERS S102 AIRFOIL (SHARP)                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.500  -0.4154   0.09245   0.08901  -0.0561   1.0000   0.0507
 -10.250  -0.4341   0.08570   0.08230  -0.0601   1.0000   0.0513
 -10.000  -0.4582   0.08013   0.07675  -0.0624   1.0000   0.0513
  -9.750  -0.4854   0.07591   0.07253  -0.0628   1.0000   0.0513
  -9.500  -0.5145   0.07292   0.06956  -0.0611   1.0000   0.0511
  -9.250  -0.5478   0.07167   0.06838  -0.0567   1.0000   0.0505
  -9.000  -0.5590   0.06635   0.06282  -0.0641   0.9893   0.0517
  -8.750  -0.5723   0.06049   0.05616  -0.0722   0.9731   0.0547
  -8.500  -0.5423   0.05535   0.05123  -0.0751   0.9709   0.0564
  -8.250  -0.5221   0.05218   0.04799  -0.0772   0.9622   0.0585
  -7.250  -0.4346   0.03174   0.02519  -0.0811   0.9328   0.0313
  -7.000  -0.3988   0.02848   0.02160  -0.0825   0.9297   0.0276
  -6.750  -0.3710   0.02565   0.01823  -0.0816   0.9217   0.0253
  -6.500  -0.3362   0.02379   0.01619  -0.0826   0.9171   0.0252
  -6.250  -0.3000   0.02210   0.01448  -0.0839   0.9138   0.0260
  -6.000  -0.2753   0.02104   0.01339  -0.0833   0.9047   0.0268
  -5.750  -0.2435   0.02010   0.01238  -0.0840   0.8998   0.0295
  -5.500  -0.2222   0.01911   0.01147  -0.0831   0.8913   0.0331
  -5.250  -0.1965   0.01821   0.01050  -0.0829   0.8853   0.0359
  -5.000  -0.1787   0.01720   0.00953  -0.0818   0.8772   0.0408
  -4.750  -0.1566   0.01630   0.00861  -0.0814   0.8706   0.0520
  -4.500  -0.1408   0.01478   0.00744  -0.0806   0.8633   0.1138
  -4.250  -0.1332   0.01339   0.00800  -0.0784   0.8557   0.5873
  -4.000  -0.1040   0.01483   0.00942  -0.0766   0.8519   0.6218
  -3.750  -0.0808   0.01620   0.01083  -0.0737   0.8460   0.6434
  -3.500  -0.0558   0.01741   0.01204  -0.0710   0.8414   0.6614
  -3.250  -0.0313   0.01891   0.01356  -0.0672   0.8378   0.6822
  -3.000  -0.0068   0.02014   0.01478  -0.0636   0.8344   0.6984
  -2.750   0.0162   0.02027   0.01487  -0.0621   0.8291   0.7018
  -2.500   0.0423   0.02005   0.01454  -0.0623   0.8247   0.7045
  -2.250   0.0707   0.01972   0.01408  -0.0632   0.8214   0.7075
  -2.000   0.0988   0.01935   0.01358  -0.0647   0.8180   0.7107
  -1.750   0.1238   0.01907   0.01322  -0.0654   0.8136   0.7130
  -1.500   0.1496   0.01893   0.01303  -0.0654   0.8099   0.7143
  -1.250   0.1776   0.01875   0.01278  -0.0658   0.8066   0.7154
  -1.000   0.2066   0.01862   0.01258  -0.0663   0.8040   0.7168
  -0.750   0.2319   0.01856   0.01250  -0.0666   0.8006   0.7182
  -0.500   0.2572   0.01850   0.01242  -0.0669   0.7968   0.7193
  -0.250   0.2846   0.01842   0.01230  -0.0675   0.7934   0.7210
   0.000   0.3141   0.01829   0.01213  -0.0684   0.7906   0.7223
   0.250   0.3445   0.01819   0.01198  -0.0696   0.7883   0.7233
   0.500   0.3710   0.01818   0.01196  -0.0701   0.7844   0.7247
   0.750   0.3980   0.01804   0.01179  -0.0705   0.7776   0.7263
   1.000   0.4336   0.01762   0.01124  -0.0718   0.7709   0.7273
   1.250   0.4589   0.01738   0.01099  -0.0716   0.7605   0.7283
   1.500   0.4892   0.01705   0.01060  -0.0719   0.7527   0.7291
   1.750   0.5159   0.01677   0.01031  -0.0715   0.7426   0.7300
   2.000   0.5430   0.01654   0.01006  -0.0712   0.7330   0.7313
   2.250   0.5719   0.01631   0.00980  -0.0712   0.7249   0.7326
   2.500   0.5987   0.01620   0.00972  -0.0712   0.7175   0.7337
   2.750   0.6271   0.01603   0.00955  -0.0713   0.7099   0.7348
   3.000   0.6547   0.01588   0.00942  -0.0714   0.7016   0.7360
   3.250   0.6831   0.01570   0.00924  -0.0715   0.6931   0.7373
   3.500   0.7098   0.01556   0.00915  -0.0714   0.6838   0.7387
   3.750   0.7396   0.01533   0.00889  -0.0717   0.6739   0.7402
   4.000   0.7651   0.01514   0.00873  -0.0713   0.6606   0.7420
   4.250   0.7910   0.01494   0.00855  -0.0709   0.6452   0.7438
   4.500   0.8154   0.01470   0.00834  -0.0700   0.6272   0.7452
   4.750   0.8368   0.01452   0.00822  -0.0687   0.6016   0.7466
   5.000   0.8559   0.01437   0.00804  -0.0668   0.5536   0.7481
   5.250   0.8551   0.01508   0.00792  -0.0613   0.4070   0.7498
   5.500   0.8509   0.01646   0.00865  -0.0562   0.3073   0.7516
   5.750   0.8579   0.01741   0.00928  -0.0531   0.2629   0.7535
   6.000   0.8692   0.01815   0.00983  -0.0508   0.2395   0.7556
   6.250   0.8829   0.01876   0.01034  -0.0488   0.2247   0.7577
   6.500   0.8993   0.01932   0.01085  -0.0473   0.2138   0.7599
   6.750   0.9137   0.01996   0.01142  -0.0454   0.2057   0.7620
   7.000   0.9325   0.02042   0.01195  -0.0441   0.1982   0.7645
   7.250   0.9506   0.02113   0.01258  -0.0430   0.1915   0.7672
   7.500   0.9716   0.02161   0.01314  -0.0423   0.1857   0.7700
   7.750   0.9930   0.02218   0.01371  -0.0417   0.1805   0.7729
   8.000   1.0185   0.02301   0.01444  -0.0419   0.1753   0.7757
   8.250   1.0388   0.02344   0.01503  -0.0410   0.1711   0.7785
   8.500   1.0600   0.02398   0.01563  -0.0403   0.1665   0.7817
   8.750   1.0855   0.02470   0.01634  -0.0404   0.1622   0.7852
   9.000   1.1116   0.02545   0.01716  -0.0406   0.1582   0.7892
   9.250   1.1322   0.02600   0.01785  -0.0399   0.1542   0.7932
   9.500   1.1539   0.02660   0.01853  -0.0394   0.1503   0.7975
   9.750   1.1887   0.02773   0.01960  -0.0411   0.1454   0.8025
  10.000   1.2036   0.02824   0.02033  -0.0395   0.1424   0.8085
  10.250   1.2205   0.02884   0.02111  -0.0382   0.1386   0.8147
  10.500   1.2400   0.02949   0.02180  -0.0375   0.1348   0.8224
  10.750   1.2692   0.03063   0.02299  -0.0383   0.1302   0.8293
  11.000   1.2792   0.03120   0.02381  -0.0361   0.1271   0.8395
