  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0014                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -10.000  -1.0990   0.01454   0.00487  -0.0022   1.0000   0.0414   1.0000  99.0655
  -9.500  -1.0641   0.01382   0.00448   0.0016   1.0000   0.0455   1.0000  99.7831
  -9.000  -1.0289   0.01317   0.00414   0.0054   1.0000   0.0502   1.0000 100.5298
  -8.500  -0.9928   0.01261   0.00385   0.0090   1.0000   0.0558   1.0000 101.3726
  -8.000  -0.9267   0.01191   0.00344   0.0064   0.9970   0.0650   1.3388 102.5811
  -7.500  -0.8585   0.01127   0.00309   0.0033   0.9936   0.0770   1.7235 103.9587
  -7.000  -0.7894   0.01059   0.00272   0.0001   0.9906   0.0946   2.0440 105.6598
  -6.500  -0.7239   0.00995   0.00239  -0.0023   0.9850   0.1163   2.5223 107.4667
  -6.000  -0.6540   0.00931   0.00208  -0.0056   0.9810   0.1450   2.8646 109.5794
  -5.500  -0.5929   0.00873   0.00181  -0.0068   0.9715   0.1778   3.5953 111.7734
  -4.500  -0.4830   0.00772   0.00137  -0.0062   0.9408   0.2524   5.6639 116.4087
  -4.000  -0.4306   0.00732   0.00119  -0.0053   0.9197   0.2928   6.9351 118.8141
  -3.500  -0.3779   0.00697   0.00105  -0.0044   0.8944   0.3338   8.3997 121.2108
  -3.000  -0.3248   0.00669   0.00091  -0.0036   0.8652   0.3763  10.0443 123.6598
  -2.000  -0.2172   0.00630   0.00072  -0.0022   0.7953   0.4610  13.9314 128.4741
  -1.500  -0.1630   0.00618   0.00066  -0.0016   0.7564   0.5035  16.0883 130.8598
  -1.000  -0.1087   0.00609   0.00061  -0.0011   0.7153   0.5458  18.3591 133.2289
  -0.500  -0.0544   0.00604   0.00059  -0.0005   0.6733   0.5885  20.6894 135.6061
   0.000   0.0000   0.00605   0.00058  -0.0000   0.6310   0.6310  23.0323 137.9677
   0.000   0.0000   0.00605   0.00058  -0.0000   0.6310   0.6310  23.0323 137.9677
   0.500   0.0544   0.00604   0.00059   0.0005   0.5885   0.6733  25.3939 140.3107
   1.000   0.1087   0.00609   0.00061   0.0011   0.5458   0.7153  27.7711 142.6408
   1.500   0.1630   0.00618   0.00066   0.0016   0.5035   0.7564  30.1402 144.9117
   2.000   0.2172   0.00630   0.00072   0.0022   0.4610   0.7953  32.5261 147.0686
   3.000   0.3248   0.00669   0.00091   0.0035   0.3763   0.8652  37.3405 150.9556
   3.500   0.3780   0.00697   0.00105   0.0044   0.3338   0.8944  39.7896 152.6003
   4.000   0.4307   0.00732   0.00119   0.0053   0.2928   0.9197  42.1864 154.0648
   4.500   0.4831   0.00772   0.00137   0.0062   0.2524   0.9408  44.5919 155.3360
   5.500   0.5929   0.00873   0.00181   0.0068   0.1778   0.9715  49.2271 157.4057
   6.000   0.6541   0.00931   0.00208   0.0055   0.1450   0.9810  51.4214 158.1366
   6.500   0.7240   0.00995   0.00239   0.0022   0.1163   0.9850  53.5341 158.4801
   7.000   0.7895   0.01059   0.00272  -0.0001   0.0946   0.9907  55.3403 158.9602
   7.500   0.8586   0.01127   0.00309  -0.0034   0.0770   0.9936  57.0420 159.2796
   8.000   0.9268   0.01191   0.00345  -0.0064   0.0650   0.9970  58.4199 159.6651
   8.500   0.9926   0.01260   0.00385  -0.0090   0.0559   1.0000  59.6254 160.0000
   9.000   1.0287   0.01317   0.00415  -0.0054   0.0502   1.0000  60.4687 160.0000
   9.500   1.0639   0.01381   0.00449  -0.0016   0.0455   1.0000  61.2161 160.0000
  10.000   1.0989   0.01454   0.00487   0.0022   0.0414   1.0000  61.9339 160.0000
  10.500   1.1368   0.01518   0.00522   0.0053   0.0384   1.0000  62.5222 160.0000
  11.000   1.1728   0.01607   0.00572   0.0086   0.0354   1.0000  63.1064 160.0000
  11.500   1.2123   0.01687   0.00618   0.0111   0.0331   1.0000  63.6027 160.0000
  12.000   1.2475   0.01798   0.00682   0.0141   0.0309   1.0000  64.1007 160.0000
  12.500   1.2840   0.01890   0.00735   0.0168   0.0291   1.0000  64.5264 160.0000
  13.000   1.3080   0.02029   0.00813   0.0212   0.0275   1.0000  64.9300 160.0000
  13.500   1.3352   0.02165   0.00895   0.0246   0.0264   1.0000  65.2222 160.0000
  14.000   1.3613   0.02322   0.00990   0.0275   0.0252   1.0000  65.5307 160.0000
  14.500   1.3804   0.02543   0.01128   0.0304   0.0241   1.0000  65.8319 160.0000
  15.000   1.3935   0.02837   0.01324   0.0327   0.0231   1.0000  66.0924 160.0000
