  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA23012mod                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -10.000  -0.9685   0.01750   0.00791  -0.0120   1.0000   0.0178   1.0000  91.2465
  -9.500  -0.9140   0.01683   0.00747  -0.0121   1.0000   0.0189   1.0000  91.5125
  -9.000  -0.8590   0.01613   0.00689  -0.0123   1.0000   0.0201   1.0000  91.8321
  -8.500  -0.8056   0.01490   0.00589  -0.0123   1.0000   0.0213   1.0000  92.1124
  -8.000  -0.7512   0.01400   0.00532  -0.0124   1.0000   0.0228   1.0000  92.4317
  -7.500  -0.6948   0.01339   0.00485  -0.0127   0.9982   0.0243   1.2254  92.7740
  -7.000  -0.6297   0.01248   0.00414  -0.0149   0.9901   0.0261   2.2382  93.1458
  -6.500  -0.5782   0.01200   0.00388  -0.0139   0.9769   0.0279   4.2642  93.4792
  -6.000  -0.5370   0.01188   0.00382  -0.0103   0.9632   0.0296   7.4661  93.7865
  -5.500  -0.4812   0.01116   0.00327  -0.0102   0.9472   0.0314  12.5344  94.1085
  -5.000  -0.4322   0.01046   0.00279  -0.0084   0.9339   0.0337  15.4011  94.4748
  -4.500  -0.3824   0.01000   0.00242  -0.0066   0.9151   0.0361  17.9207  94.8533
  -4.000  -0.3310   0.00947   0.00196  -0.0051   0.8803   0.0388  20.5811  95.2326
  -3.500  -0.2754   0.00917   0.00169  -0.0047   0.8422   0.0431  22.7085  95.7903
  -3.000  -0.2177   0.00886   0.00140  -0.0048   0.8022   0.0501  24.7484  96.5775
  -2.500  -0.1588   0.00865   0.00119  -0.0052   0.7586   0.0627  26.9164  97.7618
  -2.000  -0.0993   0.00845   0.00101  -0.0059   0.7074   0.0911  29.4603  99.7278
  -1.500  -0.0391   0.00706   0.00067  -0.0078   0.6574   0.4190  31.9432 116.7810
  -1.000   0.0215   0.00660   0.00063  -0.0091   0.6015   0.5809  34.7117 124.8417
  -0.500   0.0820   0.00638   0.00066  -0.0101   0.5509   0.6994  37.2363 130.7549
   0.000   0.1416   0.00638   0.00073  -0.0107   0.4966   0.7805  39.9278 134.7746
   0.000   0.1416   0.00638   0.00073  -0.0107   0.4966   0.7805  39.9278 134.7746
   0.500   0.1995   0.00649   0.00083  -0.0109   0.4440   0.8401  42.5410 137.7703
   1.500   0.3084   0.00703   0.00109  -0.0097   0.3483   0.9128  47.3642 142.4958
   2.000   0.3613   0.00740   0.00126  -0.0088   0.3099   0.9297  49.3179 144.6099
   2.500   0.4141   0.00781   0.00144  -0.0079   0.2768   0.9433  51.0156 147.2727
   3.000   0.4718   0.00827   0.00170  -0.0082   0.2546   0.9573  52.1660 151.5011
   3.500   0.5200   0.00828   0.00159  -0.0063   0.2372   0.9695  53.0712 155.1037
   4.000   0.5664   0.00822   0.00143  -0.0039   0.2247   0.9826  53.7264 157.6900
   4.500   0.6274   0.00835   0.00145  -0.0050   0.2131   0.9930  54.3459 159.1397
   5.000   0.6942   0.00869   0.00159  -0.0077   0.2004   1.0000  55.0264 160.0000
   5.500   0.7521   0.00893   0.00171  -0.0083   0.1920   1.0000  55.4849 160.0000
   6.000   0.8106   0.00931   0.00188  -0.0092   0.1811   1.0000  56.0882 160.0000
   6.500   0.8694   0.00964   0.00203  -0.0101   0.1713   1.0000  56.6488 160.0000
   7.000   0.9279   0.01002   0.00220  -0.0111   0.1603   1.0000  57.2876 160.0000
   7.500   0.9857   0.01048   0.00240  -0.0119   0.1469   1.0000  58.0880 160.0000
   8.000   1.0431   0.01095   0.00261  -0.0127   0.1352   1.0000  58.8106 160.0000
   8.500   1.1000   0.01145   0.00286  -0.0135   0.1233   1.0000  59.5785 160.0000
   9.000   1.1558   0.01206   0.00316  -0.0141   0.1099   1.0000  60.4760 160.0000
   9.500   1.2104   0.01276   0.00352  -0.0146   0.0958   1.0000  61.4742 160.0000
  10.000   1.2634   0.01359   0.00397  -0.0149   0.0812   1.0000  62.5935 160.0000
  10.500   1.3145   0.01460   0.00455  -0.0150   0.0659   1.0000  63.8950 160.0000
  11.000   1.3638   0.01568   0.00520  -0.0149   0.0527   1.0000  65.2065 160.0000
  11.500   1.4101   0.01700   0.00601  -0.0144   0.0404   1.0000  66.6736 160.0000
  12.000   1.4531   0.01849   0.00696  -0.0135   0.0308   1.0000  68.1050 160.0000
  12.500   1.4926   0.02011   0.00799  -0.0122   0.0257   1.0000  69.0233 160.0000
  13.000   1.5317   0.02149   0.00886  -0.0108   0.0237   1.0000  69.4421 160.0000
  13.500   1.5605   0.02339   0.01007  -0.0082   0.0219   1.0000  69.8335 160.0000
  14.000   1.5754   0.02564   0.01154  -0.0040   0.0208   1.0000  70.0600 160.0000
  14.500   1.5929   0.02807   0.01315  -0.0012   0.0201   1.0000  70.2309 160.0000
  15.000   1.6044   0.03141   0.01546   0.0007   0.0194   1.0000  70.4031 160.0000
